path	line	text	classification
P0_P1_P2_ISSUE_LIST.md	22	- Stripped-kernel Q/DQ plus `SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=MatMul;Add` is	active-user-facing
P0_P1_P2_ISSUE_LIST.md	25	- YOLO11 rt204 adoption remains a separate future gate. The frozen production	active-user-facing
P0_P1_P2_ISSUE_LIST.md	26	YOLO11 repository and `production-2026-07-02` policy are unchanged.	active-user-facing
RD_STATUS.md	5	`BANANA-YOLO26-RT204-QDQ-CONV-VENDOR-REPRO-AND-QOPERATOR-GATE-001`	active-user-facing
RD_STATUS.md	7	This is an INT8 calibration/export and rt204 operator-support forensic stage.	active-user-facing
RD_STATUS.md	9	YOLO11 production repo.	active-user-facing
RD_STATUS.md	13	- Do not modify `/data/banana-yolo11-spacemit-demo`.	active-user-facing
RD_STATUS.md	28	- Does rt204 SpaceMIT EP compile and execute CPU-good Q/DQ INT8 models?	active-user-facing
RD_STATUS.md	29	- Does rt204 deserve a future YOLO11 production adoption gate?	active-user-facing
RD_STATUS.md	45	- RT204 SpaceMIT EP runs latest YOLO26 FP32 640 end-to-end and traditional	active-user-facing
RD_STATUS.md	53	- RT204 SpaceMIT EP does not yet accept full CPU-good Q/DQ INT8 candidates:	active-user-facing
RD_STATUS.md	68	MatMul issue. `SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=MatMul;Add` restores smoke	active-user-facing
RD_STATUS.md	70	- Frozen YOLO11 production models were probed read-only with rt204. The direct	active-user-facing
RD_STATUS.md	71	tensor probe did not abort for dynamic640 INT8, vendor320 q.onnx, or FP16	active-user-facing
TEMPLATE_SOURCE.md	4	YOLO11 production release.	active-user-facing
TEMPLATE_SOURCE.md	8	- GitHub: `git@github.com:RISCY-SVT/banana-yolo11-spacemit-demo.git`	active-user-facing
TEMPLATE_SOURCE.md	9	- GitLab: `git@gitlab.itglobal.com:riscy/sw/banana-yolo11-spacemit-demo.git`	active-user-facing
TEMPLATE_SOURCE.md	15	- The production YOLO11 repository must remain read-only for YOLO26 R&D work.	active-user-facing
TEMPLATE_SOURCE.md	17	`template-yolo11-gitlab`.	active-user-facing
src/main.cpp	3	* @brief CLI entry point for the Banana YOLO11 demo application.	active-build-runtime
models/README.md	7	- `./scripts/fetch_or_build_fp16_models.sh` for reproducible YOLO11n FP16 conversions	active-user-facing
README.md	17	`banana-yolo11-spacemit-demo` release tag and is intentionally separated from	active-user-facing
README.md	18	the frozen YOLO11 production repository. Use this tree only for YOLO26,	active-user-facing
README.md	29	`template-yolo11-gitlab`.	active-user-facing
README.md	38	- Current RT204 result: SpacemiT ORT `2.0.4` runs the latest YOLO26 640	active-user-facing
README.md	45	candidates, but rt204 SpaceMIT EP fails to compile the Q/DQ Conv path with	active-user-facing
README.md	49	`kernel_shape=[3,3]`, reproduces the rt204 compiler failure. The supplemental	active-user-facing
README.md	53	`SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=QuantizeLinear;DequantizeLinear;Conv`.	active-user-facing
README.md	60	CPU-exact and avoids the first Conv blocker, but exposes a second rt204	active-user-facing
README.md	61	attention-path issue. `SPACEMIT_EP_DISABLE_OP_TYPE_FILTER=MatMul;Add`	active-user-facing
README.md	64	- YOLO11-on-rt204 status: a direct R&D tensor probe against frozen YOLO11	active-user-facing
README.md	65	dynamic640 INT8, vendor320 q.onnx, and FP16 keep_io 640 did not abort and	active-user-facing
README.md	67	signal; the production YOLO11 policy remains frozen.	active-user-facing
README.md	69	reproducible public sanity suite and rt204 baseline table. See	active-user-facing
README.md	71	- Current FP32 frozen baseline: rt204, cluster0, 4 threads, with	active-user-facing
README.md	74	- Current FP16 baseline: native body-FP16/head-FP32 keep-IO, rt204, cluster0,	active-user-facing
README.md	75	4 threads. It passes CPU and rt204 semantic sanity and reaches	active-user-facing
README.md	79	correctness and rt204 execution, but it is not faster than keep-IO FP16. The	active-user-facing
README.md	81	- INT8 closure: YOLO26 INT8 ONNX board acceleration is blocked pending rt204	active-user-facing
README.md	83	`docs/RT204_QDQ_CONV_VENDOR_BUG_REPORT.md`.	active-user-facing
README.md	89	CPU-good/rt204-runnable diagnostic only, not static activation INT8. See	active-user-facing
README.md	93	R&D-copy YOLO11 XSlim variants fail on rt204 `YoloDecode` dispatch. See	active-user-facing
README.md	96	a near-term fix for the rt204 Q/DQ Conv blocker. See	active-user-facing
README.md	98	- Frozen production baseline: the YOLO11 project remains	active-user-facing
README.md	99	`banana-yolo11-spacemit-demo` at tag `production-2026-07-02`.	active-user-facing
README.md	107	- `docs/YOLO26_INT8_RT204_FORENSICS.md`	active-user-facing
README.md	108	- `docs/YOLO26_QDQ_RT204_BLOCKER_MINIMIZATION.md`	active-user-facing
README.md	109	- `docs/RT204_QDQ_CONV_VENDOR_REPRO_AND_QOPERATOR_GATE.md`	active-user-facing
README.md	110	- `docs/RT204_OPERATOR_SUPPORT.md`	active-user-facing
README.md	117	- `docs/RT204_QDQ_CONV_VENDOR_BUG_REPORT.md`	active-user-facing
README.md	118	- `docs/YOLO26_VS_YOLO11_BASELINE.md`	active-user-facing
README.md	124	## Frozen YOLO11 production policy, for comparison only	active-user-facing
README.md	126	- Primary image visual: generated `dynamic640` INT8 on `rt201`.	active-user-facing
README.md	127	- Normal camera: generated `dynamic640` INT8 on `rt201`.	active-user-facing
README.md	128	- Fast-live camera: vendor320 INT8 on `rt123`, `320x320` letterbox.	active-user-facing
README.md	129	- Vendor320 trusted visual: `rt123`.	active-user-facing
README.md	130	- Vendor320 low-latency perf: raw `rt201`, perf-only.	active-user-facing
README.md	131	- Vendor320 `rt201` visual workaround: available, SHA256-guarded, non-default.	active-user-facing
README.md	132	- FP16: experimental only, `keep_io` 640 on `rt201`/`rt202b1`.	active-user-facing
README.md	134	- Stable `rt202`: staged/tested, not adopted in the production repo.	active-user-facing
README.md	138	The remainder of this README still contains template-era YOLO11 operational	active-user-facing
README.md	144	## Inherited YOLO11 Template Reference	active-user-facing
README.md	149	- `spacemit-ort.riscv64.1.2.3` for trustworthy vendor320 visual inference	active-user-facing
README.md	150	- `spacemit-ort.riscv64.2.0.1` for vendor320 low-latency benchmarking and dynamic640	active-user-facing
README.md	154	- `libspacemit_ep.so.1.2.3`	active-user-facing
README.md	155	- `libspacemit_ep.so.2.0.1`	active-user-facing
README.md	156	- `libspacemit_ep.so.2.0.2` for explicit non-default stable-runtime regression	active-user-facing
README.md	157	- model family: Ultralytics YOLO11n	active-user-facing
README.md	164	- Primary production visual branch: generated `dynamic640` INT8 on `rt201`.	active-user-facing
README.md	165	- Default image visual path: generated `dynamic640` INT8 on `rt201`.	active-user-facing
README.md	166	- Default normal camera path: generated `dynamic640` INT8 on `rt201`.	active-user-facing
README.md	167	- Fast-live camera path: official vendor320 INT8 on `rt123`, `320x320` letterbox, with the camera requested at `640x480`.	active-user-facing
README.md	168	- Vendor320 trusted visual path: official vendor320 INT8 on `rt123`.	active-user-facing
README.md	169	- Vendor320 low-latency benchmark path: raw `rt201`; this is perf-only, not the default visual path.	active-user-facing
README.md	170	- Vendor320 `rt201` visual workaround: available and SHA256-guarded, but slower than the `rt123` visual path.	active-user-facing
README.md	171	- FP16: experimental coverage only; the usable board-side path is `keep_io` FP16 `640x640` on `rt201`/`rt202b1`.	active-user-facing
README.md	172	Stable `rt202` was evaluated on Day 2 and is not a replacement for `rt202b1`.	active-user-facing
README.md	185	- vendor320 visual path: `rt123` = `spacemit-ort.riscv64.1.2.3`	active-user-facing
README.md	186	- vendor320 perf path: `rt201` = `spacemit-ort.riscv64.2.0.1`	active-user-facing
README.md	187	- primary production dynamic640 path: `rt201` = `spacemit-ort.riscv64.2.0.1`	active-user-facing
README.md	188	- fast-live camera path: trusted vendor320 visual stack on `rt123`	active-user-facing
README.md	189	- stable-runtime evaluation path: `rt202` = `spacemit-ort.riscv64.2.0.2`	active-user-facing
README.md	192	- official vendor YOLO11n INT8 320x320 ONNX	active-user-facing
README.md	196	- generated model: `models/generated/xquant_640/yolov11n_640x640.dynamic_int8.onnx`	active-user-facing
README.md	275	- `rt123` -> `spacemit-ort.riscv64.1.2.3`	active-user-facing
README.md	276	- `rt201` -> `spacemit-ort.riscv64.2.0.1`	active-user-facing
README.md	277	- `rt202b1` -> `spacemit-ort.riscv64.2.0.2+beta1`	active-user-facing
README.md	278	- `rt202` -> `spacemit-ort.riscv64.2.0.2`	active-user-facing
README.md	280	Day 2 evaluated final stable `rt202` as a bounded release-candidate check. It	active-user-facing
README.md	283	vendor320 test cases even after a board reboot with an idle `/dev/tcm`.	active-user-facing
README.md	291	Fetch vendor-provided YOLO11n 320x320 models:	active-user-facing
README.md	297	Outputs land under `models/vendor/yolo11/`.	active-user-facing
README.md	301	- The official vendor INT8 320x320 model is restored as a trustworthy visual path in this repository, but only on the validated `rt123` stack (`spacemit-ort.riscv64.1.2.3`) with letterbox preprocessing.	active-user-facing
README.md	302	- The same vendor320 model remains the low-latency benchmark path on `rt201` (`spacemit-ort.riscv64.2.0.1`).	active-user-facing
README.md	303	- A focused EP/runtime pass on 2026-03-15 found a public `rt201` visual workaround for vendor320:	active-user-facing
README.md	304	- `SPACEMIT_EP_DISABLE_FLOAT16_EPILOGUE=1`	active-user-facing
README.md	305	- `SPACEMIT_EP_DISABLE_OP_NAME_FILTER=/model.23/Slice;/model.23/Slice_1;/model.23/Add_1;/model.23/Add_2;/model.23/Sub;/model.23/Sub_1`	active-user-facing
README.md	306	- this restores semantically good vendor320 detections on the canonical photo and on blank-white sanity input	active-user-facing
README.md	307	- it is much slower than `rt123`, so it is not the default visual policy	active-user-facing
README.md	310	- the public vendor YOLO11 C++ example is semantically good on `1.2.2` and `1.2.3`	active-user-facing
README.md	314	- `rt201` (`2.0.1`) remains semantically bad for vendor320 even when `/dev/tcm` is clean and no `alloc failed(...)` appears	active-user-facing
README.md	315	- `rt202b1` (`2.0.2+beta1`) behaves like `rt201` for vendor320 and does not restore correct detections	active-user-facing
README.md	316	- public `1.2.4` package line is semantically good for vendor320, but still breaks the dynamic640 path	active-user-facing
README.md	318	- exact same `yolov11n_320x320.q.onnx` bundle	active-user-facing
README.md	323	- no public `2.0.x` combination restored a good vendor320 image result	active-user-facing
README.md	324	- `rt201`, tarball `rt202b1`, and package `pkg202fix` all remained bad on the same public `q.onnx` bundle	active-user-facing
README.md	325	- the public float `yolov11n_320x320.onnx` bundle also failed on `2.0.x` with EP-side reshape/compile errors instead of becoming a viable fallback	active-user-facing
README.md	327	- vendor320 visual -> `rt123`	active-user-facing
README.md	328	- vendor320 perf -> `rt201`	active-user-facing
README.md	329	- dynamic640 -> `rt201`	active-user-facing
README.md	331	- `rt201` can be made visually correct only with the explicit public workaround above	active-user-facing
README.md	332	- the workaround is far slower than `rt123`, so `rt123` remains the default vendor320 visual runtime	active-user-facing
README.md	333	- `rt202b1` still remains bad even with the same workaround	active-user-facing
README.md	339	The repository also carries a reproducible FP16 investigation path for YOLO11n `320x320` and `640x640`.	active-user-facing
README.md	349	- `models/generated/fp16/yolov11n_<size>x<size>.fp16.onnx`	active-user-facing
README.md	353	- `models/generated/fp16/yolov11n_<size>x<size>.fp16_iop32.onnx`	active-user-facing
README.md	371	- public official/vendor YOLO11n FP16 ONNX artifacts were not found for `320` or `640`	active-user-facing
README.md	373	- `keep_io` FP16 `640x640` works on `rt201` and `rt202b1`	active-user-facing
README.md	374	- stable `rt202` was evaluated and did not replace `rt202b1`; it aborted on	active-user-facing
README.md	375	the same FP16 640 path that `rt202b1` runs successfully	active-user-facing
README.md	377	- `keep_io` FP16 also fails on `rt123` for `640x640`	active-user-facing
README.md	384	Export YOLO11n from Ultralytics:	active-user-facing
README.md	387	./scripts/export_ultralytics_onnx.sh 640 yolo11n.pt	active-user-facing
README.md	393	CALIB_COUNT=10 ./scripts/quantize_xquant.sh 640 /path/to/yolo11n_640x640.onnx yolov11n_640x640.q	active-user-facing
README.md	399	XQUANT_MODE=dynamic ./scripts/quantize_xquant.sh 640 /path/to/yolo11n_640x640.onnx yolov11n_640x640.dynamic_int8	active-user-facing
README.md	407	./scripts/quantize_xquant.sh 640 /path/to/yolo11n_640x640.onnx yolov11n_640x640.q	active-user-facing
README.md	435	- model: `models/generated/xquant_640/yolov11n_640x640.dynamic_int8.onnx`	active-user-facing
README.md	438	- runtime tag: `rt201`	active-user-facing
README.md	440	If you explicitly override the model to `models/vendor/yolo11/yolov11n_320x320.q.onnx`, the script auto-selects runtime `rt123` and restores the validated vendor320 visual path. If you explicitly force `BANANA_DEMO_RUNTIME_TAG=rt201`, the script now auto-enables the validated public workaround for visual correctness. Disable that workaround only when you intentionally want the raw low-latency perf path:	active-user-facing
README.md	443	BANANA_DEMO_RUNTIME_TAG=rt201 BANANA_DEMO_VENDOR320_RT201_VISUAL_FIX=0 ./scripts/run_image_demo.sh /path/to/image.jpg models/vendor/yolo11/yolov11n_320x320.q.onnx 320	active-user-facing
README.md	461	cd <legacy-home-path>	active-user-facing
README.md	498	- model: official vendor320 INT8 ONNX	active-user-facing
README.md	499	- runtime: `rt123`	active-user-facing
README.md	513	- fast-live vendor320 path, steady post-warmup:	active-user-facing
README.md	540	BANANA_DEMO_RUNTIME_TAG=rt123 ./scripts/run_camera_demo.sh auto <legacy-home-path> 320	active-user-facing
README.md	546	SAVE_OUTPUT_REMOTE=<legacy-home-path> ./scripts/run_camera_demo.sh /dev/video20	active-user-facing
README.md	552	DISPLAY_FLAG=0 HEADLESS_FLAG=1 MAX_FRAMES=1 SAVE_OUTPUT=<legacy-home-path> ./scripts/run_camera_demo_fast.sh	active-user-facing
README.md	574	cd <legacy-home-path>	active-user-facing
README.md	593	If you explicitly override the model to the vendor 320x320 INT8 ONNX, the script auto-selects `rt123`. If you explicitly force `BANANA_DEMO_RUNTIME_TAG=rt201`, the visual helpers now auto-enable the validated public workaround. Disable it with `BANANA_DEMO_VENDOR320_RT201_VISUAL_FIX=0` only when you intentionally want the raw low-latency perf stack.	active-user-facing
README.md	613	- `bench_forward_only.sh` defaults to the low-latency `rt201` stack for vendor320 benchmarking	active-user-facing
README.md	614	- `bench_full_demo.sh` defaults to the validated visual stack (`rt123` for vendor320, `rt201` otherwise)	active-user-facing
README.md	615	- override either script with `BANANA_DEMO_RUNTIME_TAG=rt123|rt201` when you need a specific matrix entry	active-user-facing
README.md	616	- only the visual helpers auto-enable the slower vendor320 `rt201` workaround; forward-only benchmarking keeps the raw perf stack unless you export the workaround variables yourself	active-user-facing
README.md	652	- `models/generated/xquant_640/yolov11n_640x640.dynamic_int8.onnx`	active-user-facing
README.md	654	- `models/vendor/yolo11/yolov11n_320x320.q.onnx`	active-user-facing
README.md	658	- `models/vendor/yolo11/yolov11n_320x320.q.onnx`	active-user-facing
README.md	659	- Vendor320 trustworthy visual runtime:	active-user-facing
README.md	660	- `rt123` = `spacemit-ort.riscv64.1.2.3`	active-user-facing
README.md	661	- Vendor320 low-latency benchmark runtime:	active-user-facing
README.md	662	- `rt201` = `spacemit-ort.riscv64.2.0.1`	active-user-facing
README.md	663	- Vendor320 `rt201` visual workaround:	active-user-facing
README.md	664	- auto-enabled only for visual helpers when you explicitly force `BANANA_DEMO_RUNTIME_TAG=rt201`	active-user-facing
README.md	665	- guarded by the validated official vendor320 model SHA256 allowlist	active-user-facing
README.md	666	- disable with `BANANA_DEMO_VENDOR320_RT201_VISUAL_FIX=0`	active-user-facing
README.md	670	- vendor320 visual path on `rt123`	active-user-facing
README.md	676	- `<legacy-home-path>`	active-user-facing
README.md	678	- `<legacy-home-path>`	active-user-facing
README.md	693	- use `rt123` for trustworthy vendor320 image/camera inference:	active-user-facing
README.md	694	- `BANANA_DEMO_RUNTIME_TAG=rt123`	active-user-facing
README.md	695	- if you explicitly force `rt201` in the visual helpers, the scripts now auto-enable the validated public workaround	active-user-facing
README.md	697	- `BANANA_DEMO_RUNTIME_TAG=rt201 BANANA_DEMO_VENDOR320_RT201_VISUAL_FIX=0`	active-user-facing
README.md	698	- a clean-room recheck on 2026-03-14 showed that raw `rt201` remains wrong even without any `/dev/tcm` contention	active-user-facing
README.md	699	- `rt202b1` still does not fix vendor320 even with the same public workaround	active-user-facing
README.md	700	- public `1.2.4` is good for vendor320, but it still breaks dynamic640, so it is not the repo default	active-user-facing
README.md	706	- `./scripts/vendor320_runtime_matrix.sh` saves a compact `rt123` / `rt201 raw` / `rt201 fixed` comparison table plus annotated outputs	active-user-facing
custom_int8_engine/CMakeLists.txt	25	"set(Y26_K1X_SPACEMIT_EP_LIBRARY """" CACHE FILEPATH ""Optional SpacemiT EP library for Stage46 runtime probes"")"	active-user-facing
custom_int8_engine/CMakeLists.txt	744	if(Y26_K1X_SPACEMIT_EP_LIBRARY)	active-user-facing
custom_int8_engine/CMakeLists.txt	752	"""${Y26_K1X_SPACEMIT_EP_LIBRARY}"""	active-user-facing
Doxyfile	2	"PROJECT_NAME           = ""banana-yolo11-spacemit-demo"""	active-user-facing
scripts/fetch_vendor_runtime.sh	36	"elif [[ -f ""${ROOT_DIR}/.deps/runtimes/rt204/downloads/${name}.tar.gz"" ]]; then"	active-build-runtime
scripts/fetch_vendor_runtime.sh	37	"cp -f ""${ROOT_DIR}/.deps/runtimes/rt204/downloads/${name}.tar.gz"" ""${archive}"""	active-build-runtime
CMakeLists.txt	3	@brief Top-level CMake entry point for the Banana YOLO11 SpaceMIT demo.	active-build-runtime
CMakeLists.txt	10	project(banana_yolo11_spacemit_demo VERSION 0.1.0 LANGUAGES CXX)	active-build-runtime
CMakeLists.txt	25	find_package(VendorSpacemitOrt REQUIRED)	active-build-runtime
CMakeLists.txt	30	src/infer/yolo11_detector.cpp	active-build-runtime
CMakeLists.txt	47	Vendor::spacemit_ep	active-build-runtime
CMakeLists.txt	76	add_executable(banana_yolo11_demo src/main.cpp)	active-build-runtime
CMakeLists.txt	77	target_link_libraries(banana_yolo11_demo PRIVATE banana_demo_core)	active-build-runtime
CMakeLists.txt	81	set_target_properties(banana_yolo11_demo PROPERTIES	active-build-runtime
CMakeLists.txt	90	install(TARGETS banana_yolo11_demo yolo26_coco_predict	active-build-runtime
scripts/fetch_rt204_runtime.sh	2	# @file fetch_rt204_runtime.sh	active-build-runtime
scripts/fetch_rt204_runtime.sh	6	# YOLO11 runtime policy.	active-build-runtime
scripts/fetch_rt204_runtime.sh	11	"DEST_DIR=""${DEST_DIR:-${ROOT_DIR}/.deps/runtimes/rt204/downloads}"""	active-build-runtime
scripts/fetch_rt204_runtime.sh	12	"UNPACK_DIR=""${UNPACK_DIR:-${ROOT_DIR}/.deps/runtimes/rt204/unpacked}"""	active-build-runtime
scripts/fetch_rt204_runtime.sh	13	"URL=""${RT204_URL:-https://github.com/spacemit-com/onnxruntime/releases/download/2.0.4/spacemit-ort.riscv64.2.0.4.tar.gz}"""	active-build-runtime
scripts/fetch_rt204_runtime.sh	14	"SHA256_EXPECTED=""${RT204_SHA256:-bcf02bd12b8a1df969d6986658a9270c1121e5d58f5947d91ea5eba1bd6cd435}"""	active-build-runtime
scripts/fetch_rt204_runtime.sh	22	"printf 'rt204_archive=%s\n' ""${ARCHIVE}"""	active-build-runtime
scripts/fetch_rt204_runtime.sh	23	"printf 'rt204_unpack_dir=%s\n' ""${UNPACK_DIR}/spacemit-ort.riscv64.2.0.4"""	active-build-runtime
src/infer/yolo11_detector.cpp	2	* @file yolo11_detector.cpp	active-build-runtime
src/infer/yolo11_detector.cpp	3	* @brief ONNX Runtime backed YOLO11 preprocessing, execution, and decode logic.	active-build-runtime
src/infer/yolo11_detector.cpp	35	"""SPACEMIT_EP_DISABLE_OP_TYPE_FILTER"","	active-build-runtime
src/infer/yolo11_detector.cpp	36	"""SPACEMIT_EP_DISABLE_OP_NAME_FILTER"","	active-build-runtime
src/infer/yolo11_detector.cpp	37	"""SPACEMIT_EP_DISABLE_FLOAT16_EPILOGUE"","	active-build-runtime
src/infer/yolo11_detector.cpp	38	"""SPACEMIT_EP_DUMP_SUBGRAPHS"","	active-build-runtime
src/infer/yolo11_detector.cpp	39	"""SPACEMIT_EP_DEBUG_PROFILE"","	active-build-runtime
src/infer/yolo11_detector.cpp	40	"""SPACEMIT_EP_DUMP_TENSORS"","	active-build-runtime
src/infer/yolo11_detector.cpp	109	"return name == ""yolov11n_320x320.fp16_iop32.onnx"" || name == ""yolov11n_640x640.fp16_iop32.onnx"";"	active-build-runtime
src/infer/yolo11_detector.cpp	116	"return name == ""yolov11n_320x320.fp16.onnx"" || name == ""yolov11n_640x640.fp16.onnx"";"	active-build-runtime
src/infer/yolo11_detector.cpp	235	Yolo11Detector::Yolo11Detector(const AppOptions& options)	active-build-runtime
src/infer/yolo11_detector.cpp	236	": options_(options), env_(ORT_LOGGING_LEVEL_WARNING, ""banana_yolo11_demo"")"	active-build-runtime
src/infer/yolo11_detector.cpp	243	void Yolo11Detector::LoadLabels()	active-build-runtime
src/infer/yolo11_detector.cpp	255	void Yolo11Detector::ResolveInputShape()	active-build-runtime
src/infer/yolo11_detector.cpp	416	void Yolo11Detector::BuildSession()	active-build-runtime
src/infer/yolo11_detector.cpp	450	Yolo11Detector::PreprocessMode Yolo11Detector::ResolvePreprocessMode() const	active-build-runtime
src/infer/yolo11_detector.cpp	459	bool Yolo11Detector::PreprocessToNchw(const cv::Mat& bgr, std::vector<float>& nchw, PreprocessInfo& info) const	active-build-runtime
src/infer/yolo11_detector.cpp	484	// Letterbox is the repository's default truth source for vendor320 visual and dynamic640.	active-build-runtime
src/infer/yolo11_detector.cpp	553	Yolo11Detector::OutputTensor Yolo11Detector::RunSingle(const std::vector<float>& nchw) const	active-build-runtime
src/infer/yolo11_detector.cpp	621	std::vector<Detection> Yolo11Detector::Decode(const OutputTensor& output, const PreprocessInfo& info) const	active-build-runtime
src/infer/yolo11_detector.cpp	771	InferenceResult Yolo11Detector::ProcessImage(const cv::Mat& bgr, bool render_output)	active-build-runtime
src/infer/yolo11_detector.cpp	803	BenchmarkSummary Yolo11Detector::BenchmarkImage(const cv::Mat& bgr)	active-build-runtime
src/infer/yolo11_detector.cpp	892	const std::vector<std::string>& Yolo11Detector::Labels() const	active-build-runtime
src/infer/yolo11_detector.cpp	897	int Yolo11Detector::InputWidth() const	active-build-runtime
src/infer/yolo11_detector.cpp	902	int Yolo11Detector::InputHeight() const	active-build-runtime
src/infer/yolo11_detector.cpp	907	const std::string& Yolo11Detector::InputName() const	active-build-runtime
src/infer/yolo11_detector.cpp	912	std::string Yolo11Detector::ProviderSummary() const	active-build-runtime
scripts/fetch_or_build_fp16_models.sh	3	## @brief Prepare reproducible YOLO11n FP16 ONNX models for 320 and 640 tests.	active-build-runtime
scripts/fetch_or_build_fp16_models.sh	13	"SOURCE_320=""${FP16_SOURCE_320:-${ROOT_DIR}/models/vendor/yolo11/yolov11n_320x320.onnx}"""	active-build-runtime
scripts/fetch_or_build_fp16_models.sh	14	"SOURCE_640=""${FP16_SOURCE_640:-${ROOT_DIR}/models/generated/yolo11n.onnx}"""	active-build-runtime
scripts/fetch_or_build_fp16_models.sh	28	models/generated/fp16/yolov11n_320x320.fp16*.onnx	active-build-runtime
