api_bound	block_id	compiled	content_sha256	detail	document	documentation_fragment	executed_e2e	executed_synthetic	index	language	not_run_reason	parsed	status
not-run	README_zh.md#d8dbf454e95a0e4f-1	not-applicable	d8dbf454e95a0e4f4dfe135394486ecf09b19e086010020b15b5398483dff358	bash-syntax	README_zh.md	no	not-run	not-run	3	bash	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	README_zh.md#0024f0bda827ba20-1	not-applicable	0024f0bda827ba20773a66cd21051a5b00e109e122bcb1391610bc897518ae64	bash-syntax	README_zh.md	no	not-run	not-run	4	bash	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	README_zh.md#78558dc86492301b-1	pass	78558dc86492301bc735f5b47a7c2f4b7155848c711b3f641dc54eaee8e6e766	python-compile	README_zh.md	no	not-run	not-run	5	python	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	README_zh.md#3157da3199565e93-1	not-applicable	3157da3199565e93b7e5333f1ec752fb94be85561e65837a5d65184d94c403bd	bash-syntax	README_zh.md	no	not-run	not-run	6	bash	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	README_zh.md#a887ab82cd5b7917-1	not-applicable	a887ab82cd5b79172f80d3021449c480d09850c40a44225c462df3d29bfd4745	bash-syntax	README_zh.md	no	not-run	not-run	7	bash	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	README_zh.md#ac34106a3bc98e27-1	not-applicable	ac34106a3bc98e27302d60e78477fdea52657dc5bc5aa5893ca9d45c30a6e1bb	bash-syntax	README_zh.md	no	not-run	not-run	8	bash	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	SUPPORT.md#6cbc94356da2377a-1	not-applicable	6cbc94356da2377a90d956afb3501430788cd511cf1ee3f6738dbf2cbfef9e9d	text	SUPPORT.md	yes	not-run	not-run	1	text	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#1b5d0b3f09f617b6-1	not-applicable	1b5d0b3f09f617b6c10834fa80f51558d9ef22c52ad5e8c853b8908822f03302	untyped	doc/accuracy_tuning.md	yes	not-run	not-run	1		documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#4b48afb0463b6728-1	not-applicable	4b48afb0463b67289715714a7b222698afaa8287bf701b765f422387fed2f815	json-fragment: Expecting value: line 1 column 1 (char 0)	doc/accuracy_tuning.md	yes	not-run	not-run	2	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#2f08ed70a89b2145-1	not-applicable	2f08ed70a89b2145bc2697322def7681a1c89c8f5af201dc3122ebe793d0bfd0	json-fragment: Expecting value: line 1 column 1 (char 0)	doc/accuracy_tuning.md	yes	not-run	not-run	3	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#f0920d0d14cef5d9-1	not-applicable	f0920d0d14cef5d9942b0c3ed50a2fa17e7010a780d5853016ac9691b67f6203	markdown	doc/accuracy_tuning.md	yes	not-run	not-run	4	markdown	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#fcb308e819b67f29-1	not-applicable	fcb308e819b67f29e0f67e60ecb9288bf1ce2c901a5acd2bc81c3bd0897a047c	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	5	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#7c3cec0bed8b170c-1	not-applicable	7c3cec0bed8b170c65d4e1781b807ed542c8051204a28403b1aea04fe9828c00	json-fragment: Extra data: line 1 column 25 (char 24)	doc/accuracy_tuning.md	yes	not-run	not-run	6	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#2645123907486aff-1	not-applicable	2645123907486affa3704094a64d50a8c09c21480aca6c971ed711d1ba1b4132	json-fragment: Extra data: line 1 column 25 (char 24)	doc/accuracy_tuning.md	yes	not-run	not-run	7	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#53dad4c3abda8da5-1	not-applicable	53dad4c3abda8da5e049557f5cf6bc24dd35e40d71d2abe80eff9575c542e78f	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	8	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#0f13c3c0375ab79e-1	not-applicable	0f13c3c0375ab79e901c94e514ab8a24b628fb2c0bef3dc7a838ea8cb5a204a0	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	9	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#852ac5c57b2b2c50-1	not-applicable	852ac5c57b2b2c50aa4b10ea3ccc60d6e5a61989a3bce2442b6f34c280e7fb8c	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	10	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#23b742fafb159007-1	not-applicable	23b742fafb15900747a29b895b00461de1de368c34864a26d1b43159eca92427	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	11	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#ded9dd4ab15e983b-1	not-applicable	ded9dd4ab15e983b94dc1aab7aaffc2c32ccc65f0e2afdbf4e40cd89c9aead48	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	12	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#536a0e1d98bc7070-1	not-applicable	536a0e1d98bc7070a83d81b8a0e2a3bd9152f88ebdd3f128780e3ec94067ca77	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning.md	yes	not-run	not-run	13	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning.md#da9580bfd8a0ba45-1	not-applicable	da9580bfd8a0ba45faf60a640db914b065ce209519865d91a870cd3da8e95c9e	json-parse	doc/accuracy_tuning.md	no	not-run	not-run	14	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/accuracy_tuning_zh.md#25e383b672125a92-1	not-applicable	25e383b672125a92b1b84de34dfcd60b731615591dfbf5f4f8f227d6b337bed9	untyped	doc/accuracy_tuning_zh.md	yes	not-run	not-run	1		documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#edcade9a289a46c1-1	not-applicable	edcade9a289a46c14cae822f5519bd32863dd9117e386fd30265915fa03910e0	json-fragment: Expecting value: line 1 column 1 (char 0)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	2	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#525c57b8668d74d7-1	not-applicable	525c57b8668d74d74ce512ee9f04b6de5e59ac7a04b252b261f3ec4eff849703	json-fragment: Expecting value: line 1 column 1 (char 0)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	3	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#f0920d0d14cef5d9-1	not-applicable	f0920d0d14cef5d9942b0c3ed50a2fa17e7010a780d5853016ac9691b67f6203	markdown	doc/accuracy_tuning_zh.md	yes	not-run	not-run	4	markdown	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#fcb308e819b67f29-1	not-applicable	fcb308e819b67f29e0f67e60ecb9288bf1ce2c901a5acd2bc81c3bd0897a047c	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	5	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#7c3cec0bed8b170c-1	not-applicable	7c3cec0bed8b170c65d4e1781b807ed542c8051204a28403b1aea04fe9828c00	json-fragment: Extra data: line 1 column 25 (char 24)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	6	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#2645123907486aff-1	not-applicable	2645123907486affa3704094a64d50a8c09c21480aca6c971ed711d1ba1b4132	json-fragment: Extra data: line 1 column 25 (char 24)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	7	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#53dad4c3abda8da5-1	not-applicable	53dad4c3abda8da5e049557f5cf6bc24dd35e40d71d2abe80eff9575c542e78f	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	8	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#0f13c3c0375ab79e-1	not-applicable	0f13c3c0375ab79e901c94e514ab8a24b628fb2c0bef3dc7a838ea8cb5a204a0	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	9	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#852ac5c57b2b2c50-1	not-applicable	852ac5c57b2b2c50aa4b10ea3ccc60d6e5a61989a3bce2442b6f34c280e7fb8c	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	10	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#23b742fafb159007-1	not-applicable	23b742fafb15900747a29b895b00461de1de368c34864a26d1b43159eca92427	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	11	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#ded9dd4ab15e983b-1	not-applicable	ded9dd4ab15e983b94dc1aab7aaffc2c32ccc65f0e2afdbf4e40cd89c9aead48	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	12	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#536a0e1d98bc7070-1	not-applicable	536a0e1d98bc7070a83d81b8a0e2a3bd9152f88ebdd3f128780e3ec94067ca77	json-fragment: Extra data: line 1 column 26 (char 25)	doc/accuracy_tuning_zh.md	yes	not-run	not-run	13	json	documentation-fragment	not-run	not-applicable
not-run	doc/accuracy_tuning_zh.md#da9580bfd8a0ba45-1	not-applicable	da9580bfd8a0ba45faf60a640db914b065ce209519865d91a870cd3da8e95c9e	json-parse	doc/accuracy_tuning_zh.md	no	not-run	not-run	14	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/configuration.md#b4fca3f07e5551e8-1	not-applicable	b4fca3f07e5551e886b5a7a46c8c7bac61e96a4650bcfc7b383b1f7b3be5d528	json-fragment: Expecting property name enclosed in double quotes: line 2 column 27 (char 28)	doc/configuration.md	yes	not-run	not-run	1	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration.md#12768016e1dbaeb2-1	not-applicable	12768016e1dbaeb224c266dea1f16325f0d7ac4e8719a22360cf294bb7ad7a53	json-fragment: Extra data: line 1 column 19 (char 18)	doc/configuration.md	yes	not-run	not-run	2	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration.md#f3a5319e9987b12c-1	not-applicable	f3a5319e9987b12c522310f2ff84eb9a3cf836d0e7392d6fc1d23d2cef3d5431	text	doc/configuration.md	yes	not-run	not-run	3	text	documentation-fragment	not-run	not-applicable
not-run	doc/configuration.md#00d3fae679b4e0d0-1	pass	00d3fae679b4e0d0e2029d42eb551295b7e25cd69db4cb3567b92577a748263e	python-compile	doc/configuration.md	no	not-run	not-run	4	python	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/configuration.md#a27e795e31b35893-1	pass	a27e795e31b358938358cda560d2b8e72c3689b9c54e086bc6f5aa06f101edb6	python-compile	doc/configuration.md	no	not-run	not-run	5	python	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/configuration.md#fa56db26b5a4f207-1	not-applicable	fa56db26b5a4f20765e2f7648e891a4fc2f462ca69338b529162b50d470bdd8a	json-fragment: Extra data: line 1 column 17 (char 16)	doc/configuration.md	yes	not-run	not-run	6	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration.md#90fc6348770d7a29-1	not-applicable	90fc6348770d7a29d29b5f7f3a4fd0866b7e7349da367ebda8748550d9495213	json-fragment: Extra data: line 1 column 21 (char 20)	doc/configuration.md	yes	not-run	not-run	7	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration.md#5049acdd2a772eb9-1	not-applicable	5049acdd2a772eb93e23b3a35ba2dcd742510fc44fbfa0ebbb89822ec0e263a6	json-fragment: Extra data: line 1 column 18 (char 17)	doc/configuration.md	yes	not-run	not-run	8	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration.md#0faaee895a40cc53-1	not-applicable	0faaee895a40cc53cd61c002fad2c00ccac597549b78845f082247f542aa185e	json-parse	doc/configuration.md	no	not-run	not-run	9	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/configuration_zh.md#b4fca3f07e5551e8-1	not-applicable	b4fca3f07e5551e886b5a7a46c8c7bac61e96a4650bcfc7b383b1f7b3be5d528	json-fragment: Expecting property name enclosed in double quotes: line 2 column 27 (char 28)	doc/configuration_zh.md	yes	not-run	not-run	1	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration_zh.md#12768016e1dbaeb2-1	not-applicable	12768016e1dbaeb224c266dea1f16325f0d7ac4e8719a22360cf294bb7ad7a53	json-fragment: Extra data: line 1 column 19 (char 18)	doc/configuration_zh.md	yes	not-run	not-run	2	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration_zh.md#f3a5319e9987b12c-1	not-applicable	f3a5319e9987b12c522310f2ff84eb9a3cf836d0e7392d6fc1d23d2cef3d5431	text	doc/configuration_zh.md	yes	not-run	not-run	3	text	documentation-fragment	not-run	not-applicable
not-run	doc/configuration_zh.md#f5262b00e828915d-1	pass	f5262b00e828915d520f58cb9235d7d2d37e7877e3607152fa42b7c320fb6dfe	python-compile	doc/configuration_zh.md	no	not-run	not-run	4	python	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/configuration_zh.md#a27e795e31b35893-1	pass	a27e795e31b358938358cda560d2b8e72c3689b9c54e086bc6f5aa06f101edb6	python-compile	doc/configuration_zh.md	no	not-run	not-run	5	python	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/configuration_zh.md#fa56db26b5a4f207-1	not-applicable	fa56db26b5a4f20765e2f7648e891a4fc2f462ca69338b529162b50d470bdd8a	json-fragment: Extra data: line 1 column 17 (char 16)	doc/configuration_zh.md	yes	not-run	not-run	6	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration_zh.md#90fc6348770d7a29-1	not-applicable	90fc6348770d7a29d29b5f7f3a4fd0866b7e7349da367ebda8748550d9495213	json-fragment: Extra data: line 1 column 21 (char 20)	doc/configuration_zh.md	yes	not-run	not-run	7	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration_zh.md#5049acdd2a772eb9-1	not-applicable	5049acdd2a772eb93e23b3a35ba2dcd742510fc44fbfa0ebbb89822ec0e263a6	json-fragment: Extra data: line 1 column 18 (char 17)	doc/configuration_zh.md	yes	not-run	not-run	8	json	documentation-fragment	not-run	not-applicable
not-run	doc/configuration_zh.md#0faaee895a40cc53-1	not-applicable	0faaee895a40cc53cd61c002fad2c00ccac597549b78845f082247f542aa185e	json-parse	doc/configuration_zh.md	no	not-run	not-run	9	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/constrained_range_policy.md#904cd6c3989a1a39-1	not-applicable	904cd6c3989a1a39249baa3098fd62307907a8d6efdf83b11a3265c144423652	json-parse	doc/constrained_range_policy.md	no	not-run	not-run	1	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/examples.md#9f8ed7b4bd2aa8d1-1	not-applicable	9f8ed7b4bd2aa8d1cb1d7493040b2d6b634254d48735d5c02c728d2fc700aa91	json-parse	doc/examples.md	no	not-run	not-run	1	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/examples.md#ebaa4fd351660e09-1	not-applicable	ebaa4fd351660e09eba46ee9bd34411ad27978685db5cb384d1b3dd7fc49c10a	bash-syntax	doc/examples.md	no	not-run	not-run	2	bash	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/examples.md#53c716dc13c95625-1	pass	53c716dc13c956255c1a8068b07910732af90e0a0a057251f6eab3bf01771980	python-compile	doc/examples.md	no	not-run	not-run	3	python	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/examples.md#7096c61df5abaa06-1	not-applicable	7096c61df5abaa063639226d0e5a9c2c2c26b69cbe0a3ffac14806f097491d4e	json-parse	doc/examples.md	no	not-run	not-run	4	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/examples.md#0fd7c9b64afbfd80-1	not-applicable	0fd7c9b64afbfd80a650d3af046ce1ede9ed393d5535e40f59e22ca9e32c85b3	json-parse	doc/examples.md	no	not-run	not-run	5	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
not-run	doc/examples.md#123cfd5947569891-1	not-applicable	123cfd594756989130df78f39b8b94bf480ce7aa1274068670f82dbd99fcfa55	json-parse	doc/examples.md	no	not-run	not-run	6	json	syntax-only; external inputs or separate workflow authorization required	pass	pass
