path	role	sha256	audit	qualifier
doc/examples.md	historical evidence	8f8ba2c5e9856e11c7eaf4ebbe0f18ac96bb68e01ca083274a94c3f843b96b34	not-rewritten-historical	not-applicable
doc/examples_zh.md	historical evidence	362c2f36e69ab00cbe6242a6939cbc695293b3fa88629ff19cac729054b5d337	not-rewritten-historical	not-applicable
docs/ACCURACY_TUNING.md	current user guide	57215b1c9133471c586a4305be1d7beef662c637f1ddd2fcd40cfdcf7334b81d	current-source-bound	not-applicable
docs/CONFIG_REFERENCE.md	current user guide	8b44281974071736f145d46788268cfa248b2bfbcd700d56bbdd53362b20aaaf	current-source-bound	not-applicable
docs/K1X_SPACEMIT_S8_QDQ_PROFILE.md	current user guide	1e313610d8f1079cef0ad5b8ea85c3db4b494e6f955ecee490332e99a0485022	current-source-bound	not-applicable
docs/K1X_YOLO26_COOKBOOK.md	current user guide	f235def2b6cf005426caac475f48f3d17174daf4191497fdcb034a8cb9eec182	current-source-bound	not-applicable
docs/LIMITATIONS.md	current user guide	80e2c4b46d38cd93b726c2fbffd7876b73248008814bff941408157197d37eef	current-source-bound	not-applicable
docs/MAINTENANCE_ERRATA.md	current user guide	644bd0c13635c1a9989b991761fb9c6d2ea299bec6ab346c4d27fb77c3eb5d95	current-source-bound	not-applicable
docs/RECONSTRUCTION_GUIDE.md	current user guide	00b6e56baf8b53f3d63485bd9c2c018852c2dd3293509a5ca7108d5cd445334e	current-source-bound	not-applicable
docs/RELEASE_AND_PROVENANCE.md	current operator runbook	d70706f41988387ee8a202d09d0d3dd90ae978c5417356a536632c5ed81c4837	current-source-bound	not-applicable
docs/TROUBLESHOOTING.md	current user guide	5705d907ad4362410ce25b546faaf1709d506d23e493c618e90f14c65a9ab06e	current-source-bound	not-applicable
docs/USER_GUIDE.md	current user guide	f113060af07b4fe3428df5b2706bfba92d31d7293109e6506a58f2b5e221e0c8	current-source-bound	not-applicable
docs/VALIDATION_TOOLS.md	current user guide	da01780f3400cd947374ba20c38e7f795c505cd76d2305b38ac0772b11e866dd	current-source-bound	not-applicable
docs/ru/K1X_YOLO26_COOKBOOK.md	current user guide	45db3006a8f918eff8fe7e3f52833e4dd9d15769a92db38fac9d9a661af07fc4	current-source-bound	not-applicable
docs/ru/QUICKSTART.md	current user guide	8e81e198d0d0366b7418d750e1562938f2dd230c44112e8de73600ddcbf1e699	current-source-bound	not-applicable
docs/ru/README.md	current user guide	687cd783605c8c7f8f4795150854609d6e5935410b4be5eeb3a388b5a10916b7	current-source-bound	not-applicable
docs/ru/TROUBLESHOOTING.md	current user guide	670cb16328fd5aa8737d4d0a5dfd67ed5c4ba0e79cbb798d1dd07c18cbc6fb82	current-source-bound	not-applicable
samples/README.md	current user guide	5d612a62bbe41041ce9482c1bff8beb0242d5dee306724d3f5910b6d92da99e8	current-source-bound	not-applicable
samples/README_zh.md	current user guide	e6a24e35e7acdf4b2435fd980244af5438c87bf45bb1e9d4ca76ff2275892c97	current-source-bound	not-applicable
samples/k1x_yolo26_split/README.md	current user guide	f53cf27b7fe29e252b09b6e876734751fdde3be0c699520214cfc32448312d5c	current-source-bound	Stage64 recipe only; no B2/C2 reproduction claim
stages/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/SOURCE_CHANGE_SUMMARY.md	historical evidence	20d9977d38b0b868944e74b147d9a43db1e3be295e2cf0c756a49b230f7fc2d1	not-rewritten-historical	not-applicable
stages/BANANA-YOLO26-XSLIM-DEV-001B-ALL-S8-GENERIC-HARDENING-ADAPTIVE-ROUNDING-BLOCK-RECONSTRUCTION-AND-DETECTOR-PARETO-HOST-GATE-001/GENERIC_HARDENING_REPORT.md	historical evidence	75acda365cb3a153dd4807c184c4306bd5e4839a146d672ed5356bc1dc9d13a5	not-rewritten-historical	not-applicable
stages/BANANA-YOLO26-XSLIM-DEV-001B-ALL-S8-GENERIC-HARDENING-ADAPTIVE-ROUNDING-BLOCK-RECONSTRUCTION-AND-DETECTOR-PARETO-HOST-GATE-001/RECONSTRUCTION_ENGINE_REPORT.md	historical evidence	be8fc78d5fac0dca171385281e2b5afd6835fa1f4e0189da28a5452924d0244d	not-rewritten-historical	not-applicable
stages/BANANA-YOLO26-XSLIM-DEV-001B-ALL-S8-GENERIC-HARDENING-ADAPTIVE-ROUNDING-BLOCK-RECONSTRUCTION-AND-DETECTOR-PARETO-HOST-GATE-001/REPRODUCIBLE_PACKAGE_REPORT.md	historical evidence	ee5dca004595eab2499f3e6c38bb4b9aa1a1e86047c1b74dcc4542b4994147d0	not-rewritten-historical	not-applicable
