selection_group	rank	image_id	source_path	source_sha256	input_path	input_sha256	shape	dtype	source_width	source_height	scale	pad_x	pad_y
large-loss	11	143445	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000143445.jpg	949f15d166cbea596ef0ffb588b8cea5e6979d038b2b036566ed0d96726efd5b	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000143445.nchw-f32.bin	76e510053a1af55767d633906752937fa58936c151fdc4d134c25297d2e74792	1x3x640x640	float32	375	500	1.2799999713897705	80.0	0.0
large-loss	12	209018	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000209018.jpg	3c92211179ceee89a44c16e9f8a67c3f883968276abe40abe7ead4031fb694fb	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000209018.nchw-f32.bin	59bd3c49739a618c9268970cae52ef192cd8ef5ccd0466bf47aa3958f27a6e90	1x3x640x640	float32	640	639	1.0	0.0	0.5
large-loss	13	295575	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000295575.jpg	c372d23b90315a0eaa4d405ef7978ff1ab7ced9b75192e254b8c0982fe873987	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000295575.nchw-f32.bin	d7ab65b10050f203c9d6cd88bab9c4e01c8abfb481e872b67d27862a1ae30eee	1x3x640x640	float32	640	351	1.0	0.0	144.5
large-loss	14	18654	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000018654.jpg	7511bbb3b6b96cbe8e19b7ec29a26a6538a7d955becf4094011325a6a33dcf3f	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000018654.nchw-f32.bin	08a41e1c37a3a9936f5ab1b26c737daac0392c6d6d17ad3b7d343882098649b8	1x3x640x640	float32	640	427	1.0	0.0	106.5
large-loss	15	65420	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000065420.jpg	bb28aec2e2024f3822376ab1d3aca8a6486eea897744e7ee2c59ee546af2047e	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000065420.nchw-f32.bin	4cbfe0a7971f578fa0ceaf412917dd60a7aa384cbbf2a77271197b74651205c8	1x3x640x640	float32	640	427	1.0	0.0	106.5
large-loss	16	82740	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000082740.jpg	6635ad6c6d7d540e7a085082be35b6e7e691494fc4194dc0fd24e89909660092	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000082740.nchw-f32.bin	11361abc689eee4b23d012020702d2dfb269c6ffc86f6c825cb7d6b9118bed53	1x3x640x640	float32	640	438	1.0	0.0	101.0
large-loss	17	212197	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000212197.jpg	7d5d2bd8b0595717dd4551c20c2b02d4144110926593f5d5010ddd5e31bb679f	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000212197.nchw-f32.bin	244c2e6f3328d91ef5a0408b10451364b36d5c8710540fc2f9d657b18bbbbaf8	1x3x640x640	float32	640	427	1.0	0.0	106.5
large-loss	18	217855	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000217855.jpg	d834cb5a68463788e368038add47d5097e2db9c7f22b77ef05da0d9502d14715	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000217855.nchw-f32.bin	f6214ca7f0af0d44237e27b02d34d7b246eeaf812b39ea1a0f04b8df73b0db28	1x3x640x640	float32	480	640	1.0	80.0	0.0
large-loss	19	245971	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000245971.jpg	aed6090bef22d82548dddd71aa107802335a012ab9b2f167da6729ab2688e7ac	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000245971.nchw-f32.bin	a3e5ea2ab6b65b8a603f1540bf1fd19b9a9f7f95c32aaea2d57aae917a381bac	1x3x640x640	float32	500	375	1.2799999713897705	0.0	80.0
large-loss	20	297620	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000297620.jpg	3794eff73e28b375597a7e31201b161d5b393f9d79de9500fdff10153d4a885c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000297620.nchw-f32.bin	890210d2ef41c8262f4ade90ce07edc94eddd72e81437ed5ee5347615d5a142f	1x3x640x640	float32	612	612	1.045751690864563	0.0	0.0
large-loss	21	308310	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000308310.jpg	9cc69b2cf96c7066d1a32de1ed370b13076921da90aa7cb279d3dc9be0c6f298	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000308310.nchw-f32.bin	a11dfa246728135d3f9e81335c6654ee847367dae04a9da38a6427c41972abb7	1x3x640x640	float32	500	333	1.2799999713897705	0.0	107.0
large-loss	22	334032	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000334032.jpg	ca0078d35348954d0f781f80a9122bf6250aaa136a797cebd1683fbca3343472	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000334032.nchw-f32.bin	528b9feae33323a2c37978a214676cdc25f6fe15de9b6e9dcc9cfd49b8836663	1x3x640x640	float32	640	330	1.0	0.0	155.0
large-loss	23	375194	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000375194.jpg	4962e8e6a78d564a27b29255668657d987ece50f24e3febb4f13e6243add33cf	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000375194.nchw-f32.bin	7ec368044f037e607f8b93893328ac09ee0a64044b0a42ed95643487e4f33274	1x3x640x640	float32	500	375	1.2799999713897705	0.0	80.0
large-loss	24	375759	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000375759.jpg	eee512aeb82707dc2df740cdfa105e8073231156c7bb2097a070f9fea17d550b	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000375759.nchw-f32.bin	0643992e36bbbab346069c8d199bacf1e3d00bd615a17094a01b00f6c57231c1	1x3x640x640	float32	640	427	1.0	0.0	106.5
large-loss	25	389157	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000389157.jpg	3174012fdfe27641852be82d10ab62a850919675aaabc414d0cf7b2c64eea669	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000389157.nchw-f32.bin	0a467827568ffd1f04f5f2b7790aeddb70a076a9ea5a0f880a6d39c5dab34ba0	1x3x640x640	float32	500	333	1.2799999713897705	0.0	107.0
large-loss	26	424632	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000424632.jpg	32eef021d3824946e96ffca591e3f76f99bcf687fd26112262d0e3c485b5dcd1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000424632.nchw-f32.bin	6aa9581cdea7ebd5f2e8f924d70aebd7741bc85c0f64e87c23fc9bfdbea084ae	1x3x640x640	float32	375	500	1.2799999713897705	80.0	0.0
large-loss	27	430175	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000430175.jpg	bd7e5085dc11c3210ed705b824fa36287bc41f7997cbfa54dcc2995b3eaf20f8	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000430175.nchw-f32.bin	2b730225e465da4f052cfdc2f0f86f0badfa343a9e13cbad78f3a955201939ca	1x3x640x640	float32	640	360	1.0	0.0	140.0
large-loss	28	469014	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000469014.jpg	c19ab441676ff0c943a02c091bd692c0ef166c55d8949b6b0567174c2f1b2e74	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000469014.nchw-f32.bin	687c5f012f0ab7db7142547b29aa5fc1cd7262cae57229907eca819ca8bda018	1x3x640x640	float32	640	480	1.0	0.0	80.0
large-loss	29	473793	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000473793.jpg	2d0a77c01d5ddc583f0dfca703f3a55cc6723c4c16b1d973a74648804cc344e6	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000473793.nchw-f32.bin	f089e76366c29606c6b5517c72efb5d42407298f77145d35bd5b49e74885d1b6	1x3x640x640	float32	640	480	1.0	0.0	80.0
large-loss	30	533239	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000533239.jpg	88a6ea4f5f3a2eeac0c2b315a6624b2584c91ce9bbad74b262227837a87ba54f	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000533239.nchw-f32.bin	611a3b8ff83851feeb34c818ffa2ad16add569131076e2535bb01d52d786b798	1x3x640x640	float32	640	541	1.0	0.0	49.5
large-loss	31	540520	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000540520.jpg	0fc670670aaccdcc04a187cdd30f84713f724ec96a12028044e181ead874c4b2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000540520.nchw-f32.bin	a8ff292dd3237c5b3ad8e89c9bfe0f2fa4ba0b89cb6ec3756b1a96cd2b97c2e7	1x3x640x640	float32	640	427	1.0	0.0	106.5
large-loss	32	2471	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002471.jpg	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000002471.nchw-f32.bin	be21a46b5b0a2f55a84072f3da3534796e64ed9c3ebd92f09f696e3d9eb9cd7f	1x3x640x640	float32	481	640	1.0	79.5	0.0
small-loss	1	94439	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000094439.jpg	6d38498063b4aaf3c69e3106ca2ca9a4073b3f5158292fe9d5c741e52f4b2867	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000094439.nchw-f32.bin	48eb0fd6f8bf082055f32a4b254ece612da6d6b0eda01c38466c5513a2979963	1x3x640x640	float32	500	375	1.2799999713897705	0.0	80.0
small-loss	2	237759	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000237759.jpg	06e2c27ddd2664f99b2ef6956aa560c29917c13b6f44cc1a9f99afd20320f797	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000237759.nchw-f32.bin	c8e9abe3fd76eabe0cea3f22152607ec71ceb5f4cd895ced484781daa1af5ae9	1x3x640x640	float32	640	480	1.0	0.0	80.0
small-loss	3	441012	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000441012.jpg	4c07ac45d2d175bbc6d24daa0f523c98b9bca21a844d3cbde3ef84662956d5bf	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000441012.nchw-f32.bin	8b73bf87defc454cd4d38b011a0a51a890c44c4d55c8391236140e5b7201971e	1x3x640x640	float32	640	427	1.0	0.0	106.5
small-loss	4	365947	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000365947.jpg	617dc3ea02161de54ca309325d97ede496a7795c889d154a806bfae0f655384e	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000365947.nchw-f32.bin	e1094149d07ba980568718c120b34702743d660b91260c8eb6a1810cbfb1eeaf	1x3x640x640	float32	640	480	1.0	0.0	80.0
small-loss	5	430122	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000430122.jpg	c921b64bfb5d5d7d7ee2e3b0a55242c4d0086739fff6ebde7e926882781335a1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000430122.nchw-f32.bin	46b2e1bbeb8287b03dd8918a8532834ef6cf7570dbfb5b75b7f58e9f956a0daa	1x3x640x640	float32	500	337	1.2799999713897705	0.0	104.5
small-loss	6	249184	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000249184.jpg	37ed0c950988611b4cdf3761783fae8e035393b6c3917bd30e98a3e461590a68	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000249184.nchw-f32.bin	870822145c8df0baf99635da3b210ba608b2c776a92fd15769eb81c4571e512a	1x3x640x640	float32	640	480	1.0	0.0	80.0
small-loss	7	495956	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000495956.jpg	9e252744ac9dd48470e102a1c9f63471d5908fdfd786270d8a659513b1cc3ecb	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000495956.nchw-f32.bin	25deba3f7c55d159d4ca62a07a7a151c6a967b81b3df1e9dcee1bfae05b0e578	1x3x640x640	float32	640	480	1.0	0.0	80.0
small-loss	8	272807	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000272807.jpg	4e6d6cfb7eb6db45df99e7626301f8bae9a1ea8fefba8a768fea9fcee5cbd9b3	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000272807.nchw-f32.bin	39a79f592d78833e14e741aa450e6f53302c0121aa487956a6fbead42bfba9b1	1x3x640x640	float32	640	408	1.0	0.0	116.0
small-loss	9	192091	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000192091.jpg	b2c2b90736e76513f5f5cdef71ad35da10b24fa2829ad9a7c1f6939924f65453	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000192091.nchw-f32.bin	6f8ec9650f0076588bbfedf59dca3054e7bae815e2f2326aa34a7ced8bdc6651	1x3x640x640	float32	640	309	1.0	0.0	165.5
small-loss	10	301783	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000301783.jpg	9bf1ab80c747f24562bb767abc9fb684ba2cdcfdcbc34ec46d214171293c8321	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000301783.nchw-f32.bin	f9ef300da75f420962c68d418a54d464a2b4652323f381257577ef5753cefc9f	1x3x640x640	float32	640	426	1.0	0.0	107.0
small-loss	11	6522	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000006522.jpg	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000006522.nchw-f32.bin	960ae35d6b574105426912c49c38bf29cdbfce2d7b3a42b9bb65aca1a9b01a1c	1x3x640x640	float32	480	640	1.0	80.0	0.0
small-loss	12	150867	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000150867.jpg	a9e4fddef2f68fcf97512b688c6b3d272ed9843366aaf676f5c25763c08aedd6	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000150867.nchw-f32.bin	e6fd67b79690b896b1d3881ee1e323d31eb94ea3eb19f58ffdd5e6419082e0fe	1x3x640x640	float32	640	480	1.0	0.0	80.0
small-loss	13	184585	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000184585.jpg	1b6b090a6e5054d173546591d0cd5ee145a0f1a9e9256ec3a01fce70fd0276f2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000184585.nchw-f32.bin	b40ddb733b621579e2d21c5994bb447b38a635eda990d182935430484d6f22e7	1x3x640x640	float32	640	479	1.0	0.0	80.5
small-loss	14	531894	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000531894.jpg	d9bc2c6b282738d3823d9202f0c5b1b5f482e3caa212136acdea25a3fd51e85b	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000531894.nchw-f32.bin	99fe8146837bd9cf2a9582526c23659f0d698ea420553a92af75e6727158d723	1x3x640x640	float32	500	333	1.2799999713897705	0.0	107.0
