lane	pyramid	branch	float_tensor	quant_tensor	raw_quantized_tensor	source_op	dtype	axis	granularity	scale	zero_point	representable_min	representable_max
B4	P4	confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	PPQ_Variable_2733	DequantizeLinear	int8		per-tensor	[0.5184160470962524]	[127]	-132.19609200954437	0.0
B4	P5	bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	PPQ_Variable_2991	DequantizeLinear	int8		per-tensor	[0.0691291093826294]	[-127]	-0.0691291093826294	17.558793783187866
B4	P5	confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	PPQ_Variable_3042	DequantizeLinear	int8		per-tensor	[0.3453253209590912]	[124]	-87.02198088169098	1.0359759628772736
B5	P3	bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	PPQ_Variable_2238	DequantizeLinear	int8		per-tensor	[0.03316498175263405]	[-105]	-0.7627945803105831	7.694275766611099
B5	P3	confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	PPQ_Variable_2358	DequantizeLinear	int8		per-tensor	[0.1055867001414299]	[127]	-26.924608536064625	0.0
B5	P4	bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	PPQ_Variable_2634	DequantizeLinear	int8		per-tensor	[0.052638497203588486]	[-124]	-0.21055398881435394	13.21226279810071
B5	P4	confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	PPQ_Variable_2733	DequantizeLinear	int8		per-tensor	[0.46482053399086]	[127]	-118.5292361676693	0.0
B5	P5	bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	PPQ_Variable_2991	DequantizeLinear	int8		per-tensor	[0.0691291093826294]	[-127]	-0.0691291093826294	17.558793783187866
B5	P5	confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	PPQ_Variable_3042	DequantizeLinear	int8		per-tensor	[0.32686877250671387]	[122]	-81.71719312667847	1.6343438625335693
B6	P3	bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	PPQ_Variable_2238	DequantizeLinear	int8		per-tensor	[0.03314314782619476]	[-105]	-0.7622924000024796	7.689210295677185
B6	P3	confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	PPQ_Variable_2358	DequantizeLinear	int8		per-tensor	[0.10598038136959076]	[127]	-27.024997249245644	0.0
B6	P4	bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	PPQ_Variable_2634	DequantizeLinear	int8		per-tensor	[0.052870020270347595]	[-125]	-0.15861006081104279	13.323245108127594
B6	P4	confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	PPQ_Variable_2733	DequantizeLinear	int8		per-tensor	[0.5183266401290894]	[127]	-132.17329323291779	0.0
B6	P5	bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	PPQ_Variable_2991	DequantizeLinear	int8		per-tensor	[0.0691291093826294]	[-127]	-0.0691291093826294	17.558793783187866
B6	P5	confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	PPQ_Variable_3042	DequantizeLinear	int8		per-tensor	[0.3415391445159912]	[124]	-86.06786441802979	1.0246174335479736
