selection	category_id	image_count
C1000	39	27
C1000	40	24
C1000	41	37
C1000	42	20
C1000	43	30
C1000	44	73
C1000	46	24
C1000	47	91
C1000	48	23
C1000	49	29
C1000	50	26
C1000	51	69
C1000	52	25
C1000	53	17
C1000	54	16
C1000	55	15
C1000	56	19
C1000	57	11
C1000	58	8
C1000	59	24
C1000	60	13
C1000	61	14
C1000	62	111
C1000	63	37
C1000	64	39
C1000	65	24
C1000	67	96
C1000	70	28
C1000	72	40
C1000	73	24
C1000	74	16
C1000	75	28
C1000	76	18
C1000	77	45
C1000	78	14
C1000	79	21
C1000	80	1
C1000	81	44
C1000	82	19
C1000	84	41
C1000	85	40
C1000	86	26
C1000	87	9
C1000	88	14
C1000	89	3
C1000	90	14
H500	1	295
H500	2	12
H500	3	45
H500	4	15
H500	5	10
H500	6	19
H500	7	18
H500	8	33
H500	9	16
H500	10	17
H500	11	2
H500	13	6
H500	14	1
H500	15	25
H500	16	17
H500	17	12
H500	18	15
H500	19	15
H500	20	7
H500	21	7
H500	22	14
H500	23	3
H500	24	12
H500	25	7
H500	27	16
H500	28	16
H500	31	28
H500	32	17
H500	33	9
H500	34	8
H500	35	19
H500	36	9
H500	37	17
H500	38	10
H500	39	13
H500	40	13
H500	41	22
H500	42	9
H500	43	14
H500	44	48
H500	46	8
H500	47	41
H500	48	7
H500	49	19
H500	50	16
H500	51	28
H500	52	15
H500	53	4
H500	54	5
H500	55	7
H500	56	8
H500	57	2
H500	58	7
H500	59	10
H500	60	3
H500	61	9
H500	62	44
H500	63	23
H500	64	21
H500	65	14
H500	67	43
H500	70	15
H500	72	20
H500	73	19
H500	74	11
H500	75	15
H500	76	13
H500	77	18
H500	78	5
H500	79	17
H500	80	1
H500	81	26
H500	82	14
H500	84	28
H500	85	13
H500	86	15
H500	87	4
H500	88	9
H500	90	5
BALANCED	1	285
BALANCED	2	19
BALANCED	3	58
BALANCED	4	17
BALANCED	5	14
BALANCED	6	16
BALANCED	7	26
BALANCED	8	27
BALANCED	9	15
BALANCED	10	27
BALANCED	11	4
BALANCED	13	10
BALANCED	14	2
BALANCED	15	24
BALANCED	16	15
BALANCED	17	17
BALANCED	18	21
BALANCED	19	10
BALANCED	20	11
BALANCED	21	10
BALANCED	22	15
BALANCED	23	4
BALANCED	24	10
BALANCED	25	14
BALANCED	27	26
BALANCED	28	14
BALANCED	31	31
BALANCED	32	16
BALANCED	33	9
BALANCED	34	11
BALANCED	35	19
BALANCED	36	9
BALANCED	37	21
BALANCED	38	12
BALANCED	39	13
BALANCED	40	13
BALANCED	41	16
BALANCED	42	13
BALANCED	43	19
BALANCED	44	36
BALANCED	46	10
BALANCED	47	40
BALANCED	48	12
BALANCED	49	14
BALANCED	50	17
BALANCED	51	29
BALANCED	52	12
BALANCED	53	9
BALANCED	54	10
BALANCED	55	9
BALANCED	56	6
BALANCED	57	6
BALANCED	58	1
BALANCED	59	10
BALANCED	60	7
BALANCED	61	7
BALANCED	62	50
BALANCED	63	11
BALANCED	64	18
BALANCED	65	10
BALANCED	67	48
BALANCED	70	18
BALANCED	72	18
BALANCED	73	13
BALANCED	74	10
BALANCED	75	12
BALANCED	76	11
BALANCED	77	22
BALANCED	78	6
BALANCED	79	13
BALANCED	80	1
BALANCED	81	27
BALANCED	82	10
BALANCED	84	21
BALANCED	85	20
BALANCED	86	9
BALANCED	87	5
BALANCED	88	7
BALANCED	89	1
BALANCED	90	9
